id,nombre,jugadores,objetivo,nivel,duracion_min,material,instrucciones,archivo_svg,archivo_gif
IND-01,Conducción en slalom,1,conducción,iniciación,10,"6 conos, 1 balón",Conduce en zigzag usando interior y exterior. Regresa por fuera a ritmo suave.,svg/ind-01-conduccion-en-slalom.svg,gif/ind-01-conduccion-en-slalom.gif
IND-02,Ocho entre conos,1,conducción,iniciación,8,"2 conos, 1 balón",Dibuja ochos cortos alrededor de los conos. Cambia de pie cada vuelta.,svg/ind-02-ocho-entre-conos.svg,gif/ind-02-ocho-entre-conos.gif
IND-03,Cuadrado de giros,1,giros,intermedio,10,"4 conos, 1 balón","Conduce hasta cada esquina y ejecuta un giro diferente: interior, exterior, planta y Cruyff.",svg/ind-03-cuadrado-de-giros.svg,gif/ind-03-cuadrado-de-giros.gif
IND-04,Puertas de precisión,1,pase,iniciación,10,"8 conos, 1 balón, pared",Pasa el balón por cada puerta contra la pared y controla orientado hacia la siguiente.,svg/ind-04-puertas-de-precision.svg,gif/ind-04-puertas-de-precision.gif
IND-05,Control orientado 180°,1,control,intermedio,8,"3 conos, 1 balón, pared","Pasa a la pared, perfílate y orienta el control hacia el cono opuesto.",svg/ind-05-control-orientado-180-.svg,gif/ind-05-control-orientado-180-.gif
IND-06,Rombo técnico,1,conducción,intermedio,12,"4 conos, 1 balón","Recorre el rombo. En cada cono realiza finta, cambio de dirección y aceleración.",svg/ind-06-rombo-tecnico.svg,gif/ind-06-rombo-tecnico.gif
IND-07,Escalera de dominio,1,coordinación,iniciación,10,"Escalera, 1 balón","Avanza por la escalera con balón: planta-planta, interiores y arrastres laterales.",svg/ind-07-escalera-de-dominio.svg,gif/ind-07-escalera-de-dominio.gif
IND-08,Finalización tras recorte,1,tiro,intermedio,12,"4 conos, 1 balón, portería","Slalom corto, recorte al último cono y tiro al palo largo. Alterna lado y pie.",svg/ind-08-finalizacion-tras-recorte.svg,gif/ind-08-finalizacion-tras-recorte.gif
IND-09,Y de cambios de ritmo,1,conducción,intermedio,10,"4 conos, 1 balón","Conduce al cono central, realiza una finta y acelera por una de las dos salidas.",svg/ind-09-y-de-cambios-de-ritmo.svg,gif/ind-09-y-de-cambios-de-ritmo.gif
IND-10,Primer toque por colores,1,control,avanzado,10,"4 conos de colores, 1 balón, pared",Pasa a la pared y orienta el primer toque hacia un color elegido antes del rebote.,svg/ind-10-primer-toque-por-colores.svg,gif/ind-10-primer-toque-por-colores.gif
IND-11,Protección y giro,1,protección,intermedio,10,"3 conos, 1 balón","Protege el balón junto al cono central durante tres toques, gira y acelera a una salida.",svg/ind-11-proteccion-y-giro.svg,gif/ind-11-proteccion-y-giro.gif
IND-12,Circuito técnico completo,1,mixto,avanzado,15,"8 conos, 1 balón, pared, portería","Slalom, pared, control orientado y finalización. Cronometra cada vuelta sin perder precisión.",svg/ind-12-circuito-tecnico-completo.svg,gif/ind-12-circuito-tecnico-completo.gif
IND-13,V con la planta,1,dominio,iniciación,8,"3 conos, 1 balón","Arrastra el balón hacia ti con la planta y empújalo en diagonal con el interior, formando una V.",svg/ind-13-v-con-la-planta.svg,gif/ind-13-v-con-la-planta.gif
IND-14,Recorrido en L,1,giros,intermedio,10,"5 conos, 1 balón","Conduce por la L, frena con la planta en la esquina y acelera con el pie contrario.",svg/ind-14-recorrido-en-l.svg,gif/ind-14-recorrido-en-l.gif
IND-15,Caza de puertas,1,reacción,intermedio,10,"10 conos de colores, 1 balón",Cruza todas las puertas en orden variable. Antes de cada salida levanta la cabeza y elige la siguiente.,svg/ind-15-caza-de-puertas.svg,gif/ind-15-caza-de-puertas.gif
IND-16,Circuito de pierna débil,1,conducción,intermedio,12,"6 conos, 1 balón","Completa el circuito usando únicamente el pie menos hábil: conducción, giro y pase final.",svg/ind-16-circuito-de-pierna-debil.svg,gif/ind-16-circuito-de-pierna-debil.gif
IND-17,Pared a un toque,1,pase,avanzado,10,"4 conos, 1 balón, pared",Desplázate lateralmente y devuelve de primeras contra la pared sin detener el balón.,svg/ind-17-pared-a-un-toque.svg,gif/ind-17-pared-a-un-toque.gif
IND-18,Doble finta corporal,1,regate,intermedio,10,"5 conos, 1 balón","Ataca cada cono, realiza dos fintas de cuerpo y sal por el lado contrario con tres pasos rápidos.",svg/ind-18-doble-finta-corporal.svg,gif/ind-18-doble-finta-corporal.gif
IND-19,Giros explosivos 4x4,1,giros,avanzado,10,"5 conos, 1 balón","Parte del centro, gira en cada cono exterior y vuelve acelerando. Usa un giro distinto en cada salida.",svg/ind-19-giros-explosivos-4x4.svg,gif/ind-19-giros-explosivos-4x4.gif
IND-20,Finalización con ambos pies,1,tiro,avanzado,15,"6 conos, balones, portería","Alterna entrada por izquierda y derecha, orienta el último control y finaliza con el pie exterior.",svg/ind-20-finalizacion-con-ambos-pies.svg,gif/ind-20-finalizacion-con-ambos-pies.gif
PAR-01,Pase y sigue triangular,2,pase,iniciación,10,"3 conos, 1 balón",Pasa al compañero y ocupa el siguiente cono. Ambos rotan continuamente por el triángulo.,svg/par-01-pase-y-sigue-triangular.svg,gif/par-01-pase-y-sigue-triangular.gif
PAR-02,Pases a dos toques,2,pase,iniciación,8,"4 conos, 1 balón",Control orientado con un pie y pase con el otro. Cambiad perfil cada minuto.,svg/par-02-pases-a-dos-toques.svg,gif/par-02-pases-a-dos-toques.gif
PAR-03,Pared y devolución,2,pared,intermedio,10,"4 conos, 1 balón","A pasa, acelera por fuera del cono y recibe la devolución de B al espacio.",svg/par-03-pared-y-devolucion.svg,gif/par-03-pared-y-devolucion.gif
PAR-04,Control cruzado,2,control,intermedio,10,"6 conos, 1 balón",B pasa a A; A controla cruzando la puerta y devuelve desde el otro lado. Alternad roles.,svg/par-04-control-cruzado.svg,gif/par-04-control-cruzado.gif
PAR-05,Espejo con balón,2,conducción,intermedio,8,"8 conos, 2 balones",Uno lidera movimientos dentro de su cuadrado y el otro los imita. Cambiad líder cada 45 s.,svg/par-05-espejo-con-balon.svg,gif/par-05-espejo-con-balon.gif
PAR-06,Pase entre puertas,2,precisión,iniciación,10,"8 conos, 1 balón",Completad pases atravesando puertas distintas. No se puede repetir puerta.,svg/par-06-pase-entre-puertas.svg,gif/par-06-pase-entre-puertas.gif
