plan_id,plan,jugadores,nivel,duracion_sesion_min,dia,sesion,orden,tipo,ejercicio_id,ejercicio,minutos,descripcion
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,1,Sesión completa A · trabaja todas las áreas,1,calentamiento,,,5,"Movilidad, activación y contactos libres con balón, con ambos perfiles."
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,1,Sesión completa A · trabaja todas las áreas,2,ejercicio,IND-07,Escalera de dominio,5,Escalera de dominio
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,1,Sesión completa A · trabaja todas las áreas,3,ejercicio,IND-01,Conducción en slalom,5,Conducción en slalom
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,1,Sesión completa A · trabaja todas las áreas,4,ejercicio,IND-03,Cuadrado de giros,5,Cuadrado de giros
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,1,Sesión completa A · trabaja todas las áreas,5,ejercicio,IND-04,Puertas de precisión,5,Puertas de precisión
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,1,Sesión completa A · trabaja todas las áreas,6,ejercicio,IND-05,Control orientado 180°,5,Control orientado 180°
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,1,Sesión completa A · trabaja todas las áreas,7,ejercicio,IND-18,Doble finta corporal,5,Doble finta corporal
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,1,Sesión completa A · trabaja todas las áreas,8,ejercicio,IND-11,Protección y giro,5,Protección y giro
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,1,Sesión completa A · trabaja todas las áreas,9,ejercicio,IND-15,Caza de puertas,5,Caza de puertas
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,1,Sesión completa A · trabaja todas las áreas,10,ejercicio,IND-08,Finalización tras recorte,5,Finalización tras recorte
